X,y,z
-264764.76297804475,-176334.70335623957,-353856.0887093134
-5117.225963343555,-3950.531386622185,-7175.1828553032665
51953.61232689437,34642.85451903588,68641.93261544236
-250378.31532512754,-166132.7531804194,-331975.20385987795
25521.937550147064,18518.861848192435,34977.75705207636
198182.7120454416,132206.05464060765,264279.8582375279
-48877.980845641614,-33568.3758662031,-64771.74295433499
-138829.8108466152,-93415.77599942863,-186793.00387450718
102356.7103799218,68380.27833311637,134776.44676317275
93955.67026745668,62800.672631096975,126215.698279384
-154488.70511678373,-102435.99179328427,-205718.80046961442
56056.57499493455,36821.5481107663,74252.7439190192
-149744.64988622576,-99401.37463445614,-199734.78841143058
-129990.02836570154,-85437.44565192432,-173167.2091203475
49694.06953546419,33607.67622117919,65538.7268367933
-229524.47751096223,-153858.54398219558,-306635.8714607273
-222668.48262398585,-147618.16295564905,-295860.6262985408
-229396.68022413924,-152996.1974993453,-305866.2807976057
-68728.06407842811,-46175.35035666998,-89669.0504752439
248826.4879843578,164824.3570078643,331078.21424324304
76273.87875513283,50816.83600661674,101640.55438043477
124321.23521152673,83145.25973664792,164252.46989775458
226258.3496261111,150528.0800196868,299789.2292188484
185850.04855211618,123168.83744340662,248238.2589518251
-257669.4016607317,-171308.91475167163,-342420.8366932511
15277.486368108312,11602.383195200628,20770.671478056178
10008.680614658297,5996.403510155069,11443.882604210801
-103468.68171926662,-68144.7082830632,-138628.36367319015
192016.1630202893,127970.61735570032,256109.22673661678
68066.89452988954,44877.410088846635,91701.50075197796
230994.28692128565,155284.76134251367,308287.9026749806
289909.74246395833,193596.93306667256,385914.35704372986
88707.90276755716,58873.1599630422,116332.50290204151
36036.54107379983,24365.505503242828,47473.45268141444
-37090.811571827326,-25103.93978793478,-49206.638825400114
-85300.16339736841,-57640.00927926672,-113632.80344548183
251030.4657815114,167555.08279642073,335515.59524155053
76601.68234474045,50520.70105347464,101042.44688807608
106851.59027248569,72039.71196654651,141351.7531494405
-298010.18326061586,-200124.0170277907,-397671.13244623534
-146890.47879011926,-98416.73794706902,-196095.99118102223
-147284.32350143848,-97799.44216485551,-197682.4369598664
33877.24275409004,22702.367914794508,44890.500489066464
-222996.9147457931,-147850.52764388136,-296805.6761746078
96361.20794831202,63655.838134923906,128598.15579485994
259288.46013105323,172492.31766802317,343949.2052483324
104273.17845096333,70433.49921652478,140407.00868783254
99108.58382903853,65874.30086102497,131845.5845328772
190360.0145717079,126294.22259253112,253836.8172633032
-163222.38016132053,-107927.76976827456,-217688.74604601852
275780.66501459904,183604.94346595788,367707.69290123356
-95961.52508771751,-64381.65633026141,-127756.01908671009
113655.19501987012,76204.3880559681,150964.36146410892
49080.03920393948,32265.26724716089,64374.44911612552
180114.96063762996,120503.31133869204,240457.9005719913
201732.95429839904,134944.41069163335,270826.13673832634
155608.60440582133,103083.93369924415,205533.70157012015
-283358.29468203546,-190114.91532657956,-379460.0614251041
-221957.07000453415,-148416.00656298068,-297373.13133892085
-65293.963743499844,-43026.9058451887,-86369.02067576756
-125422.08543580087,-83215.7071441018,-166032.17859564745
106402.14988748667,72112.57114425719,141769.03922292384
-41833.82237870751,-26670.48190684272,-56004.30059635972
-252050.80409130323,-168308.80331662786,-334996.3387235487
208485.5858804618,139235.42171893115,277923.869265426
-296095.15191978525,-198228.15284755128,-395858.7435628113
-275711.6381102164,-183611.81488644137,-368638.1555112913
42437.72645926166,28837.116275267927,57041.585222721886
-231395.55684420367,-153350.15846948768,-307722.3587948728
-97312.62935925864,-65640.43795772853,-129167.76407133532
-270959.6637085489,-180398.09635632567,-361051.3890164382
-235519.68308490544,-157319.94271727809,-312197.58261839434
-110714.6372076125,-73807.09170038211,-147629.87315058106
9368.80014698534,7302.810830737943,13528.698094002024
70237.71317975351,47451.93189831629,93138.34080189135
152641.34123028058,100913.68178441821,203873.7718031669
-167041.7792387491,-112138.06915952149,-221786.73357132546
-278967.6487771848,-186101.55743062292,-370903.6818455668
-81474.75511404236,-54612.72227744137,-108790.72310330816
-265652.3546095399,-176299.87862888648,-353348.13980095077
54041.99935193674,36568.18864938557,71976.31446580762
225370.49753155521,151189.81950455846,301230.5890671441
-63668.527717187004,-42696.69004334366,-84845.54709069183
-228373.62644677126,-151995.43518638713,-303441.3957369982
-41421.61889279905,-27901.541385929417,-56506.12822108915
-39794.66158820689,-26173.327979202106,-53388.062630943874
-162782.28332054155,-108195.88326163453,-217418.46976424046
-250032.0956057268,-166373.9867184375,-334671.8913783387
9220.361351210024,6849.908194644278,12455.184709780562
84660.1429015302,57835.887899029214,114402.95322750877
-299047.743654704,-200317.04398213443,-399997.14100907266
-139834.84459698273,-94595.3112620518,-188464.7986196064
10595.395980173895,6560.271298749008,14326.378787281687
-77419.19137288032,-51346.99635828141,-101963.69425803998
300178.7369329114,199305.7967238075,399605.40129871946
-191596.81477482623,-126723.20988414832,-253789.0681919218
262123.2196324958,174721.06046161204,350855.1004422684
256064.5741842427,170678.52451827703,339563.14857475134
63281.22210506548,43021.55698671827,85115.43437739911
153551.2880061335,103362.88057137346,204399.22414783994
163007.42176541497,109269.1049938159,216203.99720767618
-212042.06043343595,-142276.2696923995,-283582.63610298507
-169363.01932616284,-112860.57213975818,-227367.99905429946
184865.67376569897,123171.260897479,246481.77477975326
-78454.08697012627,-51452.87777990063,-104147.8944579174
285101.866358727,190536.9385171068,381639.4125801169
-35813.840653624284,-25138.98961290885,-49008.74491141885
-276754.3428403688,-184655.98851161986,-369844.69583425403
32711.361355165882,21557.533727934137,42636.148571999
106894.78204779176,71522.59114019545,143430.5351564128
200601.64849657236,134381.81147277335,267817.30851300183
232070.6306081194,155063.14965248384,310687.35976440844
154535.23350112455,103007.58392444598,206454.52636674154
-258326.47046942296,-172199.3426968046,-344934.5708877353
-182562.4611000074,-122520.00513083464,-245105.77982000238
247447.51170602834,165002.12491716645,330889.8425913161
-64187.57610696111,-42450.78139446714,-84943.15169069653
-506.5406942643275,504.48384837250296,958.4602023941638
25069.761767624048,17196.409801492668,31989.63024295092
-145945.08597628772,-97623.52803372788,-192675.0876870486
201412.73225974911,134580.35320352818,270098.1613273328
-256493.19422757562,-170369.084817053,-341642.15241029987
-298471.1643785887,-198572.6230437679,-396898.6217150546
-64100.94918296237,-43461.10942549641,-86076.3742840645
-150479.25557793188,-100742.22727525869,-202740.80287127043
-48375.559207028615,-33310.551484287564,-66310.8343521282
287242.0052556733,191145.78566695782,382076.07162856247
-37627.1650677949,-26328.94753138264,-49982.46715727326
144468.05651503228,95804.64473295219,192369.56433142826
-232279.90762982887,-154960.78987000126,-308652.8170488212
-104029.5830018993,-69793.89090304283,-140450.33956640586
-18601.418551221515,-13034.407210104566,-25021.300801011115
-281478.635619444,-187522.25698514987,-374750.31780621887
-38541.91859276788,-26044.451218996943,-51191.139708742514
-283903.54687922,-189807.29317840547,-378883.00982646394
27181.929463821147,16739.512635453808,34370.1818476287
233578.39025429942,156748.3234422318,311365.4053666659
-235187.16304063465,-157113.7375225901,-313170.4274690737
107811.47397502932,71972.58252565021,143457.83834013267
-95408.59694891112,-63721.13696230965,-127018.28505753001
269279.4038633288,180000.40809463704,357919.9420410154
-108505.04656862639,-71423.47129585884,-144669.22070331487
208246.62039949064,139411.43752050918,277583.0744969551
68290.21642168268,46050.28235431335,89792.25923750197
-283756.1220767261,-188277.84266848493,-377353.2413017293
-171921.94354020595,-114433.98347582,-230746.72106741162
266562.6351619344,178765.48101548053,355104.26754596113
13186.284085959998,9601.156524267519,17083.3529757629
94579.8689169824,63969.09018792088,125148.14843907167
255825.79711172933,171695.76587464355,341384.56261125527
-31548.66836327656,-21441.928354292122,-43801.904922837166
-257487.5408484134,-171034.90300265796,-344622.02309888584
225845.023748097,150226.88068083418,299261.11236049817
-13430.419920499327,-7369.476141064745,-15635.819756864403
180263.1386268558,119689.81690522983,238547.78105994503
10294.218650313993,6416.560368418651,13121.27515351295
-298193.71099774627,-197738.5823894682,-395774.83484952577
108157.4562473792,72283.31976229783,142835.62194584336
213481.85752238755,141922.67478512498,283576.8085186345
-268277.10385955445,-177976.86993152194,-357577.2503700039
181294.63546587664,120032.37123607055,240970.40503593493
247905.6368190777,165331.524091367,330924.0118345975
35088.36807047273,24438.436659239116,47816.27267001901
-222263.26361543956,-146809.06700839152,-296390.2987839703
-34160.53001027533,-23454.459498417742,-46184.99507439678
-162793.45534242794,-108779.92511351162,-217422.09679394614
249104.6653299843,166754.95803457423,333272.71085628006
-44171.61818254679,-28871.905518153693,-57025.07420306425
-74215.92101474357,-50832.49156321217,-99379.68049925231
-67541.35573021296,-45428.18628015921,-89014.5699758699
216284.0619876815,143841.3480344894,287120.1643586668
-126716.15756778463,-85896.34579885914,-170510.00869975853
-200335.08490545553,-132684.93366330216,-267382.957462617
259362.41948403962,173605.28589893717,344849.0410205631
193738.41295033714,129091.7828578613,258489.20543443802
-26331.049115552705,-16219.029124073159,-33163.79129355882
137627.26408683453,92421.22998208762,182761.5308656017
287689.05032683746,192236.7345967568,383224.262441852
-216299.60101050852,-143698.56956486314,-287926.9746617424
-257288.0657276696,-171511.82503355708,-342237.3783174858
-261779.2850383768,-173504.3729216459,-348915.4942943572
